Date,Entreprise,Indice,Valeur,Volume
2000-11-13,Airtaxi,AIR,15.128910576684763,0
2000-11-13,ArcelOrbital,ARC,24.392204896038542,0
2000-11-13,Atlantis,ATL,11.975286728144955,0
2000-11-13,Bearing,BEA,88.12355041503906,228576
2000-11-13,CURCUMA,CUR,25.623294830322266,1659925
2000-11-13,Capverseau,CAP,101.32257843017578,627299
2000-11-13,Cil Exotica,CIL,10.311716079711914,5591182
2000-11-13,Croisement,CRO,33.663238525390625,2885613
2000-11-13,Dantwo,DAN,20.366701126098633,1536160
2000-11-13,Default Systèmes,DEF,6.300321102142334,2085300
2000-11-13,Desaxa,DES,6.663861274719238,8959849
2000-11-13,Eau gazeuse,EGA,12.96940803527832,997424
2000-11-13,Edenbread,EDE,7.183271193241349,0
2000-11-13,Eurobefore,AUB,4.95393102378773,0
2000-11-13,Eurofins Analyse,EUA,2.6713485717773438,276180
2000-11-13,FDP,FDP,11.578450202941895,5300684
2000-11-13,Herpès Local,HER,40.091033935546875,41934
2000-11-13,Kenji,KEN,10.475340843200684,4975500
2000-11-13,L'Ofalso,LOF,59.62494659423828,840010
2000-11-13,LVMHASH,LVM,50.46177291870117,1096628
2000-11-13,Leonard,LEO,5.562727451324463,395692
2000-11-13,Lepetit,LEP,9.461843191419042,0
2000-11-13,Mandarine,MAN,25.038410186767578,2628408
2000-11-13,Micheline,MIC,3.886155128479004,938537
2000-11-13,Milesios,MIL,29.15071678161621,263306
2000-11-13,Padaccor,PAD,4.553411483764648,617006
2000-11-13,Paindépice Groupe,PAI,18.963788986206055,528563
2000-11-13,Paris-Barque,PAR,14.610064506530762,3362530
2000-11-13,Pinot-Pinard,PP,12.682561874389648,251718
2000-11-13,Pouic,POU,13.58669662475586,919594
2000-11-13,Prêt Industriel,PRE,-50.719274189304194,0
2000-11-13,STMicrofibres,STM,19.705654667555166,0
2000-11-13,Saint-Gobelin,SAG,17.96233558654785,1016164
2000-11-13,Sanufo,SAN,27.53788948059082,1652985
2000-11-13,Schneider Electric,SCH,17.671449661254883,413760
2000-11-13,Société générale,SOG,21.528417587280273,965159
2000-11-13,True Office,TRU,3.4974701332478313,0
2000-11-13,Tréneau,TRE,28.740169525146484,375243
2000-11-13,URW,URW,6.28405726199291,0
2000-11-13,Vélo là,VEL,15.175740242004395,119086
2000-11-14,Airtaxi,AIR,15.597952441006687,0
2000-11-14,ArcelOrbital,ARC,25.148436827040367,0
2000-11-14,Atlantis,ATL,12.346556740237888,0
2000-11-14,Bearing,BEA,89.74091339111328,195455
2000-11-14,CURCUMA,CUR,28.008472442626953,1017575
2000-11-14,Capverseau,CAP,107.8787841796875,517907
2000-11-14,Cil Exotica,CIL,10.62731647491455,6645446
2000-11-14,Croisement,CRO,34.395050048828125,2457818
2000-11-14,Dantwo,DAN,19.922901153564453,1893337
2000-11-14,Default Systèmes,DEF,6.878670692443848,1250600
2000-11-14,Desaxa,DES,6.748213768005371,15013917
2000-11-14,Eau gazeuse,EGA,13.25948715209961,831198
2000-11-14,Edenbread,EDE,7.40597426861019,0
2000-11-14,Eurobefore,AUB,5.107517829086223,0
2000-11-14,Eurofins Analyse,EUA,2.8275203704833984,211110
2000-11-14,FDP,FDP,11.871674537658691,6097296
