Nom,Ticker,Secteur,Market,Submarket
Padaccor,PAD,"Hôtellerie,tourisme",Bourses,Cac40
Eau gazeuse,EGA,Gaz industriel,Bourses,Cac40
Airtaxi,AIR,"Aéronautique,défense",Bourses,Cac40
ArcelOrbital,ARC,"Acier,matériau de construction",Bourses,Cac40
Desaxa,DES,"Assurance,services financiers",Bourses,Cac40
Paris-Barque,PAR,"Banque,services financiers,assurance",Bourses,Cac40
Pouic,POU,"BTP,immobilier,médias,télécommunications",Bourses,Cac40
True Office,TRU,Certification,Bourses,Cac40
Capverseau,CAP,Services informatiques,Bourses,Cac40
Croisement,CRO,Distribution,Bourses,Cac40
Prêt Industriel,PRE,"Banque,services financiers,assurance",Bourses,Cac40
Dantwo,DAN,Agroalimentaire,Bourses,Cac40
Default Systèmes,DEF,"Services informatiques,technologies",Bourses,Cac40
Edenbread,EDE,"Service de paiement pour les entreprises, salariés et commerçants",Bourses,Cac40
Kenji,KEN,"Énergie,gaz industriel,industrie pétrolière",Bourses,Cac40
Cil Exotica,CIL,Optique,Bourses,Cac40
Eurofins Analyse,EUA,Biotechnologie,Bourses,Cac40
Eurobefore,AUB,Bourse,Bourses,Cac40
Herpès Local,HER,Luxe,Bourses,Cac40
Bearing,BEA,Luxe,Bourses,Cac40
Lepetit,LEP,Matériel électrique,Bourses,Cac40
L'Ofalso,LOF,Cosmétique,Bourses,Cac40
LVMHASH,LVM,Luxe,Bourses,Cac40
Micheline,MIC,"Pneumatique,équipementier automobile,tourisme",Bourses,Cac40
Mandarine,MAN,"Télécommunication,banque",Bourses,Cac40
Pinot-Pinard,PP,Spiritueux,Bourses,Cac40
Paindépice Groupe,PAI,"Publicité,médias",Bourses,Cac40
Tréneau,TRE,Automobile,Bourses,Cac40
CURCUMA,CUR,"Aéronautique,défense",Bourses,Cac40
Saint-Gobelin,SAG,"Matériaux de construction,verre",Bourses,Cac40
Sanufo,SAN,Pharmacie,Bourses,Cac40
Schneider Electric,SCH,Matériel électrique,Bourses,Cac40
Société générale,SOG,"Banque,services financiers,assurance",Bourses,Cac40
Atlantis,ATL,"Automobile,équipementier automobile",Bourses,Cac40
STMicrofibres,STM,Technologies,Bourses,Cac40
Milesios,MIL,Équipementier aéronautique,Bourses,Cac40
FDP,FDP,"Industrie pétrolière,gaz industriel",Bourses,Cac40
URW,URW,Immobilier,Bourses,Cac40
Vélo là,VEL,"Environnement,énergie",Bourses,Cac40
Leonard,LEO,"BTP,Immobilier",Bourses,Cac40
